,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
984,4.92,0.03691588319262318,0.10033703467799726,0.012241548451870601,0.03846517035211172,0.1,0.0
985,4.925,0.03542456328848011,0.10033059525212638,0.01224451801558978,0.0370623726387197,0.1,0.0
986,4.93,0.033947718845350174,0.1003261239766611,0.012244742599742975,0.03567317219935953,0.1,0.0
987,4.9350000000000005,0.03248821433454961,0.10032349913366326,0.012258069108662777,0.03429897646212954,0.1,0.0
988,4.94,0.031047811996419282,0.10032400318871747,0.012289678668910734,0.032941160663039426,0.1,0.0
989,4.945,0.029627530747873786,0.10032881403943922,0.012348199153306762,0.03160106485393799,0.1,0.0
990,4.95,0.028227871655979068,0.10033733964145465,0.012443260378861036,0.030279990975331295,0.1,0.0
991,4.955,0.026847088297626696,0.1003477116505971,0.012562309392910087,0.028979199999999594,0.1,0.0
992,4.96,0.025483993828854273,0.10035866087884517,0.012685660823475345,0.02769990915330872,0.1,0.0
993,4.965,0.02413935651424305,0.10037027976376932,0.01281210717001292,0.026443289216114274,0.1,0.0
994,4.97,0.02281314301794594,0.10038264014910633,0.012937715641548077,0.0252104619161595,0.1,0.0
995,4.9750000000000005,0.02150676114952011,0.1003948696294622,0.013071658017927581,0.024002497413868784,0.1,0.0
996,4.98,0.020221193414802607,0.10040633789352096,0.013237287093622473,0.022820411888431147,0.1,0.0
997,4.985,0.01895454840037136,0.10041755089023101,0.013401911804318704,0.021665165230079608,0.1,0.0
998,4.99,0.017707238530603336,0.10042889571732695,0.013545728172728847,0.02053765884445924,0.1,0.0
999,4.995,0.016481714876179897,0.1004400082959419,0.01367506975335915,0.019438733574990208,0.1,0.0
1000,5.0,0.015279335448953824,0.10045054820247809,0.01379097221822027,0.018369167749119786,0.1,0.0
1001,5.005,0.014104275901569586,0.10046092254037121,0.013907125452891874,0.01732967535436636,0.1,0.0
1002,5.01,0.012958955143891041,0.10047163947547352,0.014031924263203316,0.016320904350054954,0.1,0.0
1003,5.015,0.011841896767319823,0.10048219233784438,0.014166739793271018,0.015343435120639959,0.1,0.0
1004,5.0200000000000005,0.010751006724020415,0.10049208679528025,0.01429708889274049,0.0143977790765204,0.1,0.0
1005,5.025,0.009688728214681646,0.10050186218115033,0.014425559677650296,0.013484377408244042,0.1,0.0
1006,5.03,0.008657644075560553,0.10051213848084482,0.014549110609986355,0.012603599999999382,0.1,0.0
1007,5.035,0.007656336176262378,0.10052244731754596,0.01465367284511222,0.01175574450829564,0.1,0.0
1008,5.04,0.0066867172188108375,0.10053241005339306,0.014761323623817787,0.01094103561173343,0.1,0.0
1009,5.045,0.0057503929289556294,0.10054282805531126,0.014881295329277192,0.010159624437759418,0.1,0.0
1010,5.05,0.004847710338636457,0.10055446520440237,0.015035210624003478,0.009411588172312801,0.1,0.0
1011,5.055,0.003973207411217322,0.10056681567916988,0.015234506397179678,0.008696929858252989,0.1,0.0
1012,5.0600000000000005,0.0031198126164661876,0.1005788752937355,0.01544116369200527,0.00801557838847966,0.1,0.0
1013,5.065,0.0022858723479431647,0.10059048157239694,0.015656671554627015,0.007367388699634159,0.1,0.0
1014,5.07,0.0014686997582047856,0.10060164649255858,0.015876806505120085,0.006752142172288478,0.1,0.0
1015,5.075,0.0006668164903214002,0.10061238817162645,0.016057352499168624,0.006169547243519924,0.1,0.0
1016,5.08,-0.00011143780838808112,0.10062288890780081,0.016210091763323282,0.005619240237768386,0.1,0.0
1017,5.085,-0.0008592493193995561,0.10063301097676743,0.016368965421259252,0.005100786421881498,0.1,0.0
1018,5.09,-0.001577253584077336,0.10064187184363103,0.016543123575364305,0.004613681290239757,0.1,0.0
