,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
53,0.265,0.02339659427764619,-0.00036324687027572357,-0.01118625005446451,0.019438733574991887,0.0,0.0
54,0.27,0.0246566458776292,-0.00033913221017359843,-0.011308100022554828,0.02053765884446101,0.0,0.0
55,0.275,0.02594679272576875,-0.00031537939023788613,-0.01140921622713588,0.021665165230081357,0.0,0.0
56,0.28,0.027263589102350237,-0.00029205271139939615,-0.011522206177069968,0.022820411888432996,0.0,0.0
57,0.28500000000000003,0.028605484718467165,-0.00026913502624834805,-0.011624635621231194,0.02400249741387052,0.0,0.0
58,0.29,0.029970358402661046,-0.0002467211715798641,-0.01168372409519001,0.025210461916161372,0.0,0.0
59,0.295,0.03135351690321285,-0.00022392420199604082,-0.011737675169895358,0.02644328921611607,0.0,0.0
60,0.3,0.03275203148931168,-0.00020093313182880228,-0.011813929854028607,0.02769990915331063,0.0,0.0
61,0.305,0.03416617160046047,-0.00017997064271259191,-0.01188452454981719,0.02897920000000135,0.0,0.0
62,0.31,0.03559468296793559,-0.0001630784469489844,-0.01196532455367108,0.030279990975332977,0.0,0.0
63,0.315,0.037035722864129254,-0.00015073753265144223,-0.012054222365168048,0.03160106485393986,0.0,0.0
64,0.32,0.0384877002032547,-0.00014221359913022758,-0.012114083255699237,0.032941160663041355,0.0,0.0
65,0.325,0.03994920736599128,-0.00013793251167693802,-0.012144617647316079,0.03429897646213109,0.0,0.0
66,0.33,0.04141865579542122,-0.0001383022585482673,-0.012164474058194095,0.035673172199361204,0.0,0.0
67,0.335,0.04289370569597369,-0.0001416352579951472,-0.012189705167621039,0.037062372638721364,0.0,0.0
68,0.34,0.04437254134809385,-0.00014651181515653162,-0.01222124373731578,0.03846517035211345,0.0,0.0
69,0.34500000000000003,0.04585480138622458,-0.00015389256172499192,-0.01225119298787332,0.039880128770422046,0.0,0.0
70,0.35000000000000003,0.04734044944852508,-0.00016468943167439624,-0.012276213616007272,0.04130578528768132,0.0,0.0
71,0.355,0.04882787174434822,-0.00017726598854395564,-0.012305275534354924,0.04274065441243846,0.0,0.0
72,0.36,0.05031562098196616,-0.0001900631337378678,-0.012336712000919504,0.044183230960414197,0.0,0.0
73,0.365,0.051803865729628785,-0.00020383450526911343,-0.012369310828528733,0.0456319932825613,0.0,0.0
74,0.37,0.053292473062821075,-0.0002195364530596737,-0.012406470770387817,0.04708540652262026,0.0,0.0
75,0.375,0.054779649912059726,-0.00023575273406461157,-0.012445416399298718,0.04854192589827408,0.0,0.0
76,0.38,0.056263468817444734,-0.00025096185486182733,-0.012463759838839562,0.05000000000000129,0.0,0.0
77,0.385,0.05774327573922344,-0.0002658336363666401,-0.01246561899586585,0.051458074101728465,0.0,0.0
78,0.39,0.05921751929433111,-0.00028095232863328796,-0.0124714572375289,0.05291459347738227,0.0,0.0
79,0.395,0.06068385632577033,-0.0002950701318031521,-0.012490681045246433,0.0543680067174413,0.0,0.0
80,0.4,0.06213979192253394,-0.00030711616163391054,-0.012519830327879967,0.055816769039588265,0.0,0.0
81,0.405,0.0635830722350433,-0.00031792192746982125,-0.012539332866021966,0.05725934558756415,0.0,0.0
82,0.41000000000000003,0.06501203885937053,-0.0003283195095005638,-0.012552580389068035,0.05869421471232114,0.0,0.0
83,0.41500000000000004,0.06642471649968097,-0.0003373329051123818,-0.012571772243778073,0.0601198712295804,0.0,0.0
84,0.42,0.06781923529990383,-0.00034429560081972383,-0.0125986109224115,0.06153482964788909,0.0,0.0
85,0.425,0.0691940737856424,-0.0003505161474059235,-0.01262291648828457,0.06293762736128106,0.0,0.0
86,0.43,0.0705487078630329,-0.0003573400830622071,-0.012644679113521696,0.06432682780064133,0.0,0.0
87,0.435,0.07188149650983634,-0.00036396165719211127,-0.012667819584542533,0.06570102353787133,0.0,0.0
88,0.44,0.07319077809052044,-0.00036957432505490363,-0.012695674047985401,0.0670588393369611,0.0,0.0
